Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2047120,2015-06-02 19:08:39,2015-10-05 12:23:18,31045619,6271215038,31045619,202,2354,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/047/SRR2047120/SRR2047120.sralite.1,SRX1045418,Obimac_anc,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950665,SAMN03744438,simple,37653,Octopus bimaculoides,Octopus bimaculoides Axial Nerve Cord,,,,,female,,no,,,,,UC BERKELEY,SRA235086,,public,DB84BA7EEF8B5A06B7B029DFA541F772,DB0561FCBB0E826BAE175742662DC247
SRR2047118,2015-06-02 19:08:39,2015-10-05 12:24:06,30275334,6115617468,30275334,202,2285,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/047/SRR2047118/SRR2047118.sralite.1,SRX1045415,Obimac_ol,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950662,SAMN03744435,simple,37653,Octopus bimaculoides,Octopus bimaculoides Optic Lobe,,,,,male,,no,,,,,UC BERKELEY,SRA235086,,public,C2F81D940DF5145B24BCE06164CD26F6,5D0B6DFAF8687A0653D597750918C972
SRR2047107,2015-06-02 19:08:39,2015-10-05 12:25:05,35618906,7195019012,35618906,202,2711,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/047/SRR2047107/SRR2047107.sralite.1,SRX1045409,Obimac_psg,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950656,SAMN03744430,simple,37653,Octopus bimaculoides,Octopus bimaculoides Posterior Salivary Gland,,,,,male,,no,,,,,UC BERKELEY,SRA235086,,public,D7BD9F14A8F6B41927FED78DB4FCF771,9D9B19A2C186912D489AD9CE7DA62F62
SRR2047116,2015-06-02 19:08:39,2015-10-05 12:25:19,31503269,6363660338,31503269,202,2397,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/047/SRR2047116/SRR2047116.sralite.1,SRX1045414,Obimac_retina,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950661,SAMN03744434,simple,37653,Octopus bimaculoides,Octopus bimaculoides Retina,,,,,male,,no,,,,,UC BERKELEY,SRA235086,,public,EE0A39CDC9F569C5B0FFEDB26B200753,D3003BC9297D676CF86254AFAA99FCFC
SRR2047109,2015-06-02 19:08:39,2015-10-05 12:29:28,39229634,7924386068,39229634,202,2988,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/047/SRR2047109/SRR2047109.sralite.1,SRX1045410,Obimac_skin,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950658,SAMN03744431,simple,37653,Octopus bimaculoides,Octopus bimaculoides Skin,,,,,,,no,,,,,UC BERKELEY,SRA235086,,public,33999C27B41E14DB348C37AD9367E9FC,42A98F410F10C3BA975F53ACA2F089CA
SRR2047114,2015-06-02 19:08:39,2015-10-02 13:43:18,33613933,6790014466,33613933,202,2559,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/047/SRR2047114/SRR2047114.sralite.1,SRX1045413,Obimac_stage15,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950660,SAMN03744433,simple,37653,Octopus bimaculoides,Octopus bimaculoides Stage 15,,,,,,,no,,,,,UC BERKELEY,SRA235086,,public,BB6D5F5CD427B3B2D1EFC2C0A484C05F,77D922773590BC74120FE0AF28AC5281
SRR2048495,2015-06-03 16:43:16,2015-10-02 10:40:15,16000000,3200000000,16000000,200,1225,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/048/SRR2048495/SRR2048495.sralite.1,SRX1045435,Obimac_sub,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950682,SAMN03744437,simple,37653,Octopus bimaculoides,Octopus bimaculoides Subesophageal Brain,,,,,female,,no,,,,,UC BERKELEY,SRA235086,,public,46CC5016CAC277BC4BCF9C2DBC727438,E37120F5FDAC69AFFFEE1DFF77353728
SRR2048496,2015-06-03 16:40:11,2015-10-02 10:36:10,16000000,3200000000,16000000,200,1229,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/048/SRR2048496/SRR2048496.sralite.1,SRX1045435,Obimac_sub,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950682,SAMN03744437,simple,37653,Octopus bimaculoides,Octopus bimaculoides Subesophageal Brain,,,,,female,,no,,,,,UC BERKELEY,SRA235086,,public,AC17C63510A56D4AB693E97CB926E2E5,72DFAB7FE2F406DBD56310B5AFB8EDFE
SRR2048497,2015-06-03 16:43:16,2015-10-02 10:31:20,16000000,3200000000,16000000,200,1234,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/048/SRR2048497/SRR2048497.sralite.1,SRX1045435,Obimac_sub,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950682,SAMN03744437,simple,37653,Octopus bimaculoides,Octopus bimaculoides Subesophageal Brain,,,,,female,,no,,,,,UC BERKELEY,SRA235086,,public,FC97F8DD41199519969DD6456BA1FA5D,526FBB8A13A838964DC0EBB57D81C33C
SRR2048498,2015-06-07 01:43:24,2015-10-02 10:27:27,16000000,3200000000,16000000,200,1237,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/048/SRR2048498/SRR2048498.sralite.1,SRX1045435,Obimac_sub,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950682,SAMN03744437,simple,37653,Octopus bimaculoides,Octopus bimaculoides Subesophageal Brain,,,,,female,,no,,,,,UC BERKELEY,SRA235086,,public,64C97999E457943113AD5118352D2A74,B1F02B0290DB061557D93E38E1DDBFAB
SRR2047111,2015-06-02 19:08:39,2015-10-05 12:54:39,35109376,7092093952,35109376,202,2659,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/047/SRR2047111/SRR2047111.sralite.1,SRX1045411,Obimac_suckers,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950659,SAMN03744432,simple,37653,Octopus bimaculoides,Octopus bimaculoides Suckers,,,,,male,,no,,,,,UC BERKELEY,SRA235086,,public,BBB0F60429671B1577FB4447AEB69467,CC9DA6602F9DF939ACD74B3401824DF2
SRR2048521,2015-06-03 16:46:16,2015-10-02 10:22:49,16000000,3200000000,16000000,200,1227,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/048/SRR2048521/SRR2048521.sralite.1,SRX1045432,Obimac_supra,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,300,30,ILLUMINA,Illumina HiSeq 2000,SRP058882,PRJNA285380,,285380,SRS950679,SAMN03744436,simple,37653,Octopus bimaculoides,Octopus bimaculoides Supraesophageal Brain,,,,,female,,no,,,,,UC BERKELEY,SRA235086,,public,BC0BE6BAF666C63C5B9E96033915B4BE,A189823A188EFB8F7EBD3FE891D1973D
