Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR9203380,2019-10-29 17:04:13,2019-06-05 10:37:45,58689742,17606922600,58689742,300,6728,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/203/SRR9203380.sralite.1,SRX5974599,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP200481,PRJNA546532,3,546532,SRS4878682,SAMN11960666,simple,10090,Mus musculus,GSM3854153,,,,,,,no,,,,,GEO,SRA894432,,public,1C53A7C3A9DAE93646F7DC146B4F1BD5,A5572E54A7116DD5DD43E2CF91566B42
SRR9203381,2019-10-29 17:04:14,2019-06-05 10:35:37,56283223,16884966900,56283223,300,6397,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/203/SRR9203381.sralite.1,SRX5974600,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP200481,PRJNA546532,3,546532,SRS4878683,SAMN11960665,simple,10090,Mus musculus,GSM3854154,,,,,,,no,,,,,GEO,SRA894432,,public,0736E49C8984F1C0EDA092C23D071420,80984A97851DEF69D171F49A3933C335
SRR9203382,2019-10-29 17:04:14,2019-06-05 10:37:21,50245238,15073571400,50245238,300,5718,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/203/SRR9203382.sralite.1,SRX5974601,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP200481,PRJNA546532,3,546532,SRS4878684,SAMN11960677,simple,10090,Mus musculus,GSM3854155,,,,,,,no,,,,,GEO,SRA894432,,public,44673B29039D6F8CD0CFC6B132376990,57DEC1D03F6ECE480D9D27BD59F0F257
SRR9203383,2019-10-29 17:04:14,2019-06-05 10:37:45,55758457,16727537100,55758457,300,6327,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/203/SRR9203383.sralite.1,SRX5974602,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP200481,PRJNA546532,3,546532,SRS4878685,SAMN11960676,simple,10090,Mus musculus,GSM3854156,,,,,,,no,,,,,GEO,SRA894432,,public,A72BE9D6D83279B25BEE8BCCCBA0F12A,6508F4F21B532A57567C8AD5A1D1C51B
SRR9203384,2019-10-29 17:04:14,2019-06-05 10:38:38,54777211,16433163300,54777211,300,6176,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/203/SRR9203384.sralite.1,SRX5974603,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP200481,PRJNA546532,3,546532,SRS4878686,SAMN11960675,simple,10090,Mus musculus,GSM3854157,,,,,,,no,,,,,GEO,SRA894432,,public,6B5FCB7242846A5AB182CE5DE93E6B39,C26F1ED0EE01206BB231810D2D4F32D9
SRR9203385,2019-10-29 17:04:14,2019-06-05 10:33:41,54300306,16290091800,54300306,300,6169,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/203/SRR9203385.sralite.1,SRX5974604,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP200481,PRJNA546532,3,546532,SRS4878687,SAMN11960674,simple,10090,Mus musculus,GSM3854158,,,,,,,no,,,,,GEO,SRA894432,,public,8CA560F53EBF37C69A005A69EF5BE0EE,04C1B241420FBA3F8D3E0BF96D736649
SRR9203386,2019-10-29 17:04:14,2019-06-05 10:40:23,59391293,17817387900,59391293,300,6751,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/203/SRR9203386.sralite.1,SRX5974605,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP200481,PRJNA546532,3,546532,SRS4878688,SAMN11960673,simple,10090,Mus musculus,GSM3854159,,,,,,,no,,,,,GEO,SRA894432,,public,9860404F3AE65D09AB132E9BDB5F1B19,9559BDAD1F0029BF90172AB82943BD4E
SRR9203387,2019-10-29 17:04:14,2019-06-05 10:37:34,56818254,17045476200,56818254,300,6464,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/203/SRR9203387.sralite.1,SRX5974606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP200481,PRJNA546532,3,546532,SRS4878689,SAMN11960672,simple,10090,Mus musculus,GSM3854160,,,,,,,no,,,,,GEO,SRA894432,,public,4B6BF14AAF39E75F8261EDF24117DC31,F97505D944AE1CB688F285D2581CBE89
SRR9203388,2019-10-29 17:04:14,2019-06-05 10:39:59,61574321,18472296300,61574321,300,7023,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/203/SRR9203388.sralite.1,SRX5974607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP200481,PRJNA546532,3,546532,SRS4878690,SAMN11960671,simple,10090,Mus musculus,GSM3854161,,,,,,,no,,,,,GEO,SRA894432,,public,F9462C8C03AAC051F08B377920D8AF04,484B16820463C0D707F1BF3898EC4821
SRR9203389,2019-10-29 17:04:14,2019-06-05 10:40:18,81245663,12262649066,81245663,150,4870,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/203/SRR9203389.sralite.1,SRX5974608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP200481,PRJNA546532,3,546532,SRS4878691,SAMN11960670,simple,10090,Mus musculus,GSM3854162,,,,,,,no,,,,,GEO,SRA894432,,public,8E70EA8DAB32A75CAAB866A7159B3E86,6010B6019D94D2928E67FD0D49602A99
